PARENTSITE,PARENTSITE_ID,SUBSITE,SUBSITE_ID,MML_ID,BEACH_NO,FROM_TO,NO_RPT,REGION,REGNO,RCA,E_W_144,ROOK,TREND_70,TREND_90,TREND_00,CH_93R,PUPS_50,CH_PROPOSEDR,CH_93HO,NP_BRD_200,NP_NONBRD_100,CH_PROPOSEDHO,LAT,LON,HEM,SITE_ORIG/A-B,COMPLEX_ORIG,PUP,JUV,GPSID,IS_NO,SITE_NO,SEQ_NO,REDUNDANT,SUBSTR_CODE,SUBSTR_DESCR,ORIENT,NOTES,,
CARLISLE,506,CARLISLE,A,361,,,1,C ALEU,10,5,W,0,1,1,1,,,,,,1,1,52.925,-170.083,W,CARLISLE,,,,CARLI,63,0,236,,4,SM OFFSHOR,,,,
CHAGULAK,507,CHAGULAK,A,364,,,1,C ALEU,10,5,W,0,1,1,1,,,,1,1,1,1,52.559,-171.170,W,CHAGULAK,,,1,CHGLK,117,0,239,,4,SLAB-ROCK ,S,,,
CHUGINADAK,616,CHUGINADAK,A,360A,1,FROM,1,C ALEU,10,6,W,0,1,1,1,,,,1,1,1,1,52.778,-169.698,W,CHUGINADAK/A,CHUGINADAK,,1,CHUGN,45,0,235,,4,SLAB-ROCK ,E,,,
CHUGINADAK,616,CHUGINADAK/B,B,360B,2,TO,0,C ALEU,10,6,W,0,1,1,1,,,,1,1,1,1,52.777,-169.737,W,CHUGINADAK/B,CHUGINADAK,,1,CHUGN,45,0,235,,4,SLAB-ROCK ,E,,,
CHUGUL,411,CHUGUL,A,393,,,1,C ALEU,10,4,W,0,0,0,1,,,,,,,,51.917,-175.763,W,CHUGUL,,,,CHUGL,423,0,264,,4,SLAB-ROCK ,S,,,
FENIMORE,412,FENIMORE,A,391,,,1,C ALEU,10,4,W,0,0,1,1,,,,,,,,51.979,-175.545,W,FENIMORE,,,,FENIM,387,0,262,,4,SLAB ROCK,,,,
GARELOI,305,GARELOI,A,421,,,1,C ALEU,10,3,W,0,0,0,0,,,,,,,,51.745,-178.768,W,GARELOI,,,,GRLOI,729,0,286,,,,,,,
GRAMP ROCK,306,GRAMP ROCK,A,416,,,1,C ALEU,10,3,W,1,1,1,1,1,1,1,,,,,51.480,-178.343,W,GRAMP ROCK,,1,,GRAMP,639,0,281,,4,SLAB-ROCK ,SE,,,
GREAT SITKIN,413,GREAT SITKIN,A,396A,1,FROM,1,C ALEU,10,4,W,0,0,1,1,,,,1,1,1,1,52.100,-176.175,W,GREAT SITKIN/A,GREAT SITKIN,,,GSTK1,477,0,267,,6,OFFSHORE R,N,updated 3/12/14,,
GREAT SITKIN,413,GREAT SITKIN/B,B,396B,2,,0,C ALEU,10,4,W,0,0,1,1,,,,1,1,1,1,52.110,-176.117,W,GREAT SITKIN/B,GREAT SITKIN,,,GSTK1,477,0,267,,6,OFFSHORE R,N,updated 3/12/14,,
GREAT SITKIN,413,GREAT SITKIN/C,C,396C,3,TO,0,C ALEU,10,4,W,0,0,1,1,,,,1,1,1,1,52.106,-176.083,W,GREAT SITKIN/C,GREAT SITKIN,,,GSTK1,477,0,267,,6,OFFSHORE R,N,updated 3/12/14,,
HAWADAX (RAT),211,HAWADAX (RAT),A,442,,,1,C ALEU,10,2,W,0,0,1,1,,,,,,1,1,51.833,178.206,E,HAWADAX (RAT),,,1,RATIS,873,0,305,,4,SLAB-ROCK ,W,,,
HERBERT,508,HERBERT,A,362A,1,,1,C ALEU,10,5,W,0,1,1,1,,,,,,,,52.715,-170.080,W,HERBERT/A,HERBERT,,,HRBT1,81,0,237,,5,OFFSHORE S,W,,,
HERBERT,508,HERBERT/B,B,362B,2,,0,C ALEU,10,5,W,0,1,1,1,,,,,,,,52.723,-170.188,W,HERBERT/B,HERBERT,,,HRBT1,81,0,237,,5,OFFSHORE S,W,,,
HERBERT,508,HERBERT/C,C,362C,3,,0,C ALEU,10,5,W,0,1,1,1,,,,,,,,52.751,-170.191,W,HERBERT/C,HERBERT,,,HRBT1,81,0,237,,5,OFFSHORE S,W,,,
IGITKIN/SW POINT,414,IGITKIN/SW POINT,A,395,,,1,C ALEU,10,4,W,0,0,0,0,,,,,,,,51.983,-175.958,W,IGITKIN/SW POINT,,,,IGITK,459,0,266,,,,,,,
IKIGINAK,415,IKIGINAK,A,390,,,1,C ALEU,10,4,W,0,1,1,1,,,,,,,,51.975,-175.483,W,IKIGINAK,,,,IKIGI,369,0,261,,6,OFFSHORE R,E,,,
ILAK,307,ILAK,A,415,,,1,C ALEU,10,3,W,0,0,0,1,,,,,,,,51.479,-178.315,W,ILAK,,,,ILAKI,621,0,280,,5,OFFSHORE S,,,,
KAGALASKA,416,KAGALASKA,A,399,,,1,C ALEU,10,4,W,0,0,1,1,,,,,,1,1,51.871,-176.310,W,KAGALASKA,,,1,KAGAL,531,0,269,,,,,,,
KAGALASKA/RAGGED POINT,417,KAGALASKA/RAGGED POINT,A,624,,,1,C ALEU,10,4,W,0,1,0,0,,,,,,,,51.744,-176.286,W,KAGALASKA/RAGGED POINT,,,,,,,,,,,,,,
KAGAMIL,621,KAGAMIL,A,359,,,1,C ALEU,10,6,W,0,1,1,1,,,,1,1,,1,53.035,-169.683,W,KAGAMIL,,,,KAGAM,27,0,234,,5,OFFSHORE S,N,,,
KANAGA/CAPE CHUNU,308,KANAGA/CAPE CHUNU,A,410,,,1,C ALEU,10,3,W,0,0,0,1,,,,,,,,51.658,-177.642,W,KANAGA/CAPE CHUNU,,1,,CHUNU,567,4,276,,,,,,,
KANAGA/CAPE MIGA,309,KANAGA/CAPE MIGA,A,408,,,1,C ALEU,10,3,W,0,0,1,0,,,,,,,,51.940,-177.183,W,KANAGA/CAPE MIGA,KANAGA/CAPE MIGA,,,CMIGA,567,2,274,,"""5,6""","""OFFSHORE ",N,,,
KANAGA/CAPE MIGA,309,KANAGA/S OF CAPE MIGA,B,599,,,1,C ALEU,10,3,W,0,0,1,0,,,,,,,,51.922,-177.201,W,KANAGA/S OF CAPE MIGA,KANAGA/CAPE MIGA,,,,,,,,,,,,,
KANAGA/N CAPE,310,KANAGA/N CAPE,A,407,,,1,C ALEU,10,3,W,0,0,1,1,,,,1,1,1,1,51.942,-177.142,W,KANAGA/N CAPE,,,,KANNC,567,1,273,,"""5,6""","""OFFSHORE ",N,,,
KANAGA/SHIP ROCK,311,KANAGA/SHIP ROCK,A,409,,,1,C ALEU,10,3,W,1,0,1,1,,1,1,1,,,,51.778,-177.345,W,KANAGA/SHIP ROCK,,1,1,SHIPR,567,3,275,,5,OFFSHORE S,W,,,
KASATOCHI/NORTH POINT,418,KASATOCHI/NORTH POINT,A,388,,,1,C ALEU,10,4,W,1,1,1,1,1,1,1,,,,,52.185,-175.516,W,KASATOCHI/NORTH POINT,,1,,KASAT,333,0,259,,4,SLAB-ROCK ,N,,,
KAVALGA,312,KAVALGA,A,422,,,1,C ALEU,10,3,W,0,1,1,1,,,,1,1,1,1,51.576,-178.865,W,KAVALGA,,,,KAVL1,747,0,287,,5,OFFSHORE S,N,,,
