ID,time,mu.x,nu.x,mu.y,nu.y,se.mu.x,se.nu.x,se.mu.y,se.nu.y,speed,tod
44072,22-06-24 12:39:21,501959.603618552,-18095.6319584814,5329888.39588762,853.566560680778,0,4956.83981988525,0,4956.83981988525,18115.7520365655,12.65
44072,22-06-24 12:44:42,499888.129949332,-25970.6476565097,5329928.60939925,216.70141164506,278.693379899846,4278.91878866613,278.693379899846,4278.91878866613,25971.5517287739,12.7333333333333
44072,22-06-24 12:54:19.999992,496202.213984584,-12449.9148139201,5329955.11968934,264.597294710778,0,4958.03751498514,0,4958.03751498514,12452.7262317228,12.9
44072,22-06-24 12:59:42,495822.747813442,569.359306263666,5329987.98541605,428.37602519511,280.802421641979,4296.89108542444,280.802421641979,4296.89108542444,712.513886595205,12.9833333333333
44072,22-06-24 13:09:30.000008,496186.955617996,1702.1966532784,5330062.94366874,477.168867371516,0,4954.3194285391,0,4954.3194285391,1767.81321819382,13.15
44072,22-06-24 13:14:42,496252.88089698,195.476104524699,5330104.68083948,481.066436413815,273.943424816147,4277.24584282924,273.943424816147,4277.24584282924,519.264695202782,13.2333333333333
44072,22-06-24 13:24:21,496240.311342252,-195.639432989452,5330174.50128858,313.036239656221,0,4954.22546923331,0,4954.22546923331,369.142892493599,13.4
44072,22-06-24 13:29:42,496221.332129077,-222.220121919175,5330193.91400667,153.76940378657,280.282000849145,4296.15246470607,280.282000849145,4296.15246470607,270.234735233372,13.4833333333333
44072,22-06-24 13:39:23.000008,496186.672430774,-186.029584893861,5330196.43297716,-278.742058100427,0,5161.34265477502,0,5161.34265477502,335.118100689659,13.65
44072,22-06-24 13:44:42,496172.188861247,-150.000850283787,5330152.94040666,-616.625321200929,348.575673276263,5153.61290746598,348.575673276263,5153.61290746598,634.607785826812,13.7333333333333
44072,22-06-24 13:59:42,496137.201272691,-127.145297265461,5329982.9278578,-683.974889720301,553.274796100455,5032.69271861496,553.274796100455,5032.69271861496,695.692156333978,13.9833333333333
44072,22-06-24 14:12:02.999992,496138.906399679,425.996224666516,5329877.91397425,28.0438373928545,0,5166.88465131553,0,5166.88465131553,426.918306290374,14.2
44072,22-06-24 14:14:42,496165.411994906,731.708975975649,5329889.09995193,424.441563926496,183.215719849581,4662.64881800034,183.215719849581,4662.64881800034,845.901097476356,14.2333333333333
44072,22-06-24 14:27:15,496321.980841639,260.270494786481,5329998.50049086,137.791565479476,0,4977.55150651402,0,4977.55150651402,294.494899741378,14.45
44072,22-06-24 14:29:42,496323.84555799,-122.219515239107,5329996.75816837,-183.936691778643,169.540555620182,4703.66070204899,169.540555620182,4703.66070204899,220.840024650773,14.4833333333333
44072,22-06-24 14:42:47,496245.273212284,-353.016130059151,5329910.96543001,-418.229830529878,0,4975.88705659604,0,4975.88705659604,547.29935065464,14.7
44072,22-06-24 14:44:42,496234.858195666,-303.322423549301,5329898.00677421,-395.195534621586,138.072444752746,4768.45551515373,138.072444752746,4768.45551515373,498.180693335925,14.7333333333333
44072,22-06-24 14:57:54.999992,496192.969879033,45.668808802767,5329818.74690379,-308.597812771305,0,5171.73394520639,0,5171.73394520639,311.958731476933,14.95
44072,22-06-24 14:59:42,496196.311339252,168.288735594214,5329809.97537242,-283.838145354002,141.141772696817,5282.02375988598,141.141772696817,5282.02375988598,329.977561791554,14.9833333333333
44072,22-06-24 15:14:42,496271.565385026,327.420583348156,5329745.49648954,-255.942143139702,600.227456886137,5058.08975800153,600.227456886137,5058.08975800153,415.584671318602,15.2333333333333
44072,22-06-24 15:29:42,496294.880425271,-787.32117773447,5329649.47009155,-864.271249046893,187.227134785533,5271.65979554827,187.227134785533,5271.65979554827,1169.11908240276,15.4833333333333
44072,22-06-24 15:32:09,496240.754244185,-2012.45408040537,5329602.19857533,-1532.12643938871,0,5158.16731019846,0,5158.16731019846,2529.30481595519,15.5333333333333
44072,22-06-24 15:44:42,495924.429244765,5455.13691711444,5329167.23560769,-1031.44561522302,151.907866814066,4695.71794297741,151.907866814066,4695.71794297741,5551.79239900301,15.7333333333333
44072,22-06-24 15:46:51.999992,496271.796362609,14794.1707327379,5329156.80754071,636.416964342248,0,4955.16578935559,0,4955.16578935559,14807.8531266994,15.7666666666667
44072,22-06-24 15:59:42,502138.683859052,25300.9731614474,5329794.22521588,2875.22356028303,159.981248901238,4729.28937579421,159.981248901238,4729.28937579421,25463.8204800043,15.9833333333333
44072,22-06-24 16:01:56,502942.16223244,16893.9163799129,5329882.36980282,1725.35450173126,0,5168.84996880351,0,5168.84996880351,16981.7919787087,16.0166666666667
44072,22-06-24 16:14:42,503776.179587446,-154.121461844637,5329870.54798159,-614.613035185105,569.283760527208,5064.70512468396,569.283760527208,5064.70512468396,633.642334460518,16.2333333333333
44072,22-06-24 16:29:42,503664.7347719,-510.261532673101,5329707.83318054,-645.544921253788,395.867402042654,5153.0541429331,395.867402042654,5153.0541429331,822.857871738772,16.4833333333333
44072,22-06-24 16:35:53,503615.582410872,-413.128494197859,5329645.34273461,-534.388395021897,0,5458.80737890613,0,5458.80737890613,675.459924386539,16.5833333333333
44072,22-06-24 16:44:42,503566.19235815,-302.827672779429,5329579.42625325,-411.50251747684,522.924468733296,5316.30792938107,522.924468733296,5316.30792938107,510.91968183931,16.7333333333333
44072,22-06-24 16:59:42,503492.244622045,-292.331864235857,5329478.44047667,-401.139665391698,771.667026637785,5284.99526962891,771.667026637785,5284.99526962891,496.357683528899,16.9833333333333
44072,22-06-24 17:14:42,503429.387534922,-98.7742065291585,5329383.23382418,-305.174176691946,589.027164059519,5302.43981578292,589.027164059519,5302.43981578292,320.761004480083,17.2333333333333
44072,22-06-24 17:25:38.999992,503654.854346597,4925.0468136469,5329448.19074808,2184.13582405472,0,5267.31468587173,0,5267.31468587173,5387.62799518792,17.4166666666667
44072,22-06-24 17:29:42,504134.375713293,8536.18835144494,5329668.5206563,3974.48988717805,256.351321432131,4606.14936796453,256.351321432131,4606.14936796453,9416.10755220143,17.4833333333333
44072,22-06-24 17:42:39,505938.594565237,4383.44578267009,5330512.45927357,2015.69223274212,0,5003.80115512197,0,5003.80115512197,4824.68777298025,17.7
44072,22-06-24 17:44:42,506038.545969574,1738.34011947675,5330557.5217132,751.726606614106,146.082168658601,4727.85723134699,146.082168658601,4727.85723134699,1893.91638201744,17.7333333333333
44072,22-06-24 17:57:34,505952.668300253,-508.804403865703,5330502.80397411,-256.675170008761,0,4952.09783829035,0,4952.09783829035,569.880745675935,17.95
44072,22-06-24 17:59:42,505941.650087409,-149.508454633341,5330497.68785489,-52.824364713471,150.156584937191,4711.03757149102,150.156584937191,4711.03757149102,158.566047797855,17.9833333333333
44072,22-06-24 18:12:33.000008,505962.696093875,21.5284610526194,5330519.82011985,111.42493081712,0,4960.20967298762,0,4960.20967298762,113.485637165652,18.2
44072,22-06-24 18:14:42,505961.397652142,-82.6729723365907,5330523.28769492,84.874541599578,151.680585441908,4727.79409450116,151.680585441908,4727.79409450116,118.484210621944,18.2333333333333
44072,22-06-24 18:27:48.000008,505929.492824373,-95.4555260896939,5330535.23527084,20.5338519260323,0,4955.62094999204,0,4955.62094999204,97.6391137607283,18.45
44072,22-06-24 18:29:42,505927.230493087,-51.5113552250136,5330535.60410916,4.25932820009181,136.139634199597,4738.23722496035,136.139634199597,4738.23722496035,51.6871511483621,18.4833333333333
44072,22-06-24 18:42:37,505927.26383975,43.1379952087492,5330532.00965802,-38.6912930117562,0,4953.41306575577,0,4953.41306575577,57.947413967766,18.7
44072,22-06-24 18:44:42,505929.122970724,61.8420836915343,5330530.46439309,-49.0059948955363,147.533047145377,4731.81455680588,147.533047145377,4731.81455680588,78.9052016727165,18.7333333333333
44072,22-06-24 18:57:47,505941.782242752,-4.16247332207413,5330524.02201861,63.2510258691337,0,4958.88172877716,0,4958.88172877716,63.3878415601509,18.95
44072,22-06-24 18:59:42,505940.988168892,-41.0994391639362,5330526.99315459,116.665253134039,137.462722219517,4749.21151350411,137.462722219517,4749.21151350411,123.692947205649,18.9833333333333
44072,22-06-24 19:12:48.000008,505951.817541579,465.318791914616,5330533.81350476,-415.544700043301,0,4953.15374281881,0,4953.15374281881,623.858137594561,19.2
44072,22-06-24 19:14:42,505970.812310375,710.137920021532,5330516.04153018,-680.562721263518,136.271787248865,4746.77606381426,136.271787248865,4746.77606381426,983.596199172258,19.2333333333333
44072,22-06-24 19:27:44.999992,506145.185237095,379.177020778645,5330350.06712168,-249.860460589824,0,4959.64908032816,0,4959.64908032816,454.098516681928,19.45
44072,22-06-24 19:29:42,506152.327997839,88.8726648713645,5330348.14371576,97.4204220908503,139.807009838563,4759.67089198402,139.807009838563,4759.67089198402,131.867695823114,19.4833333333333
44072,22-06-24 19:42:49,506122.181495712,-61.317641496563,5330429.06900947,283.561228288746,0,5259.34577680532,0,5259.34577680532,290.115189790751,19.7
44072,22-06-24 19:44:42,506121.792138243,28.133088822153,5330436.18244727,179.434507805563,153.554550567543,5496.61495831753,153.554550567543,5496.61495831753,181.626576464184,19.7333333333333
44072,22-06-24 19:59:42,506151.808797375,144.65918302922,5330454.28685211,43.7902263415478,823.098414528907,5530.92749907283,823.098414528907,5530.92749907283,151.141864345142,19.9833333333333
44072,22-06-24 20:14:42,506188.229312705,145.955684839619,5330464.93673376,42.2810102321716,1093.65168129528,5529.61282550596,1093.65168129528,5529.61282550596,151.956394282225,20.2333333333333
44072,22-06-24 20:29:42,506224.721079057,145.970108840299,5330475.5036743,42.2642181338377,1207.26591934006,5529.59799623806,1207.26591934006,5529.59799623806,151.965577711906,20.4833333333333
44072,22-06-24 20:44:42,506261.213632042,145.970157871882,5330486.06969132,42.2640188101317,1208.52306556391,5529.59799623806,1208.52306556391,5529.59799623806,151.965569373873,20.7333333333333
44072,22-06-24 20:59:42,506297.705643272,145.960141243477,5330496.63563638,42.2628940125589,1097.80872650931,5529.6105649494,1097.80872650931,5529.6105649494,151.955635111477,20.9833333333333
44072,22-06-24 21:14:42,506334.148170301,145.059713164422,5330507.19603584,42.1619870431859,832.157437027393,5530.74154160181,832.157437027393,5530.74154160181,151.062747011876,21.2333333333333
44072,22-06-24 21:29:42,506366.143181751,64.1316592863253,5330517.25802213,33.0927423224279,171.309661140287,5609.56326285746,171.309661140287,5609.56326285746,72.1664694801951,21.4833333333333
44072,22-06-24 21:31:43.000008,506367.270476614,-3.86555120769774,5330518.25507556,25.4725993345705,0,5641.6839684619,0,5641.6839684619,25.7642349585407,21.5166666666667
44072,22-06-24 21:44:42,506342.168666729,-150.649104448686,5330521.04775415,9.02322360524794,736.330768065548,5606.86454268337,736.330768065548,5606.86454268337,150.919088373278,21.7333333333333
44072,22-06-24 21:59:42,506303.911064858,-153.667414403574,5330523.23684455,8.68497512018779,1119.16084634873,5604.64717890431,1119.16084634873,5604.64717890431,153.912647441067,21.9833333333333
44072,22-06-24 22:14:42,506265.487587496,-153.700996961963,5330525.40734604,8.68121167320284,1346.36993430483,5604.62219957777,1346.36993430483,5604.62219957777,153.945964231662,22.2333333333333
44072,22-06-24 22:29:42,506227.062264558,-153.701370610874,5330527.5776407,8.68116980004203,1489.62008579369,5604.62193194153,1489.62008579369,5604.62193194153,153.946334924734,22.4833333333333
44072,22-06-24 22:44:42,506188.636921085,-153.701374768195,5330529.74793306,8.68116933414942,1572.02099222625,5604.62193194153,1572.02099222625,5604.62193194153,153.946339049167,22.7333333333333
44072,22-06-24 22:59:42,506150.211577384,-153.701374814363,5330531.91822539,8.68116932895355,1602.98409224796,5604.62193194153,1602.98409224796,5604.62193194153,153.946339094969,22.9833333333333
44072,22-06-24 23:14:42,506111.786233681,-153.701374807054,5330534.08851772,8.68116932779711,1585.52578030129,5604.62193194153,1585.52578030129,5604.62193194153,153.946339087607,23.2333333333333
44072,22-06-24 23:29:42,506073.360890016,-153.701374103896,5330536.25881005,8.68116922904257,1517.97595501378,5604.62193194153,1517.97595501378,5604.62193194153,153.946338379999,23.4833333333333
44072,22-06-24 23:44:42,506034.935549825,-153.701310905441,5330538.42910189,8.6811603533083,1393.06747862406,5604.62202115361,1393.06747862406,5604.62202115361,153.946274781597,23.7333333333333
44072,22-06-24 23:59:42,505996.510521791,-153.69563079837,5330540.59934989,8.68036262620321,1192.92036616029,5604.62924732761,1192.92036616029,5604.62924732761,153.940558729112,23.9833333333333
44072,22-06-25 00:14:42,505958.113549707,-153.185118063776,5330542.76565764,8.6086650612135,867.516570446928,5605.27519395792,867.516570446928,5605.27519395792,153.426821352556,0.233333333333333
44072,22-06-25 00:29:42,505922.238170789,-107.301607608956,5330544.57782714,2.16468090593407,181.780086918232,5636.88424575137,181.780086918232,5636.88424575137,107.323440304953,0.483333333333333
44072,22-06-25 00:31:51,505919.065671813,-65.2837240716871,5330544.56095093,-3.73640584764267,0,5620.24954961966,0,5620.24954961966,65.390560154555,0.516666666666667
44072,22-06-25 00:44:42,505919.210579895,21.2593114572606,5330541.77677889,-15.8907055896068,687.32452306025,5445.83611578608,687.32452306025,5445.83611578608,26.5419073876082,0.733333333333333
44072,22-06-25 00:59:42,505924.891038256,23.113047479653,5330537.75275363,-16.1510274148916,949.334503744597,5439.94898873142,949.334503744597,5439.94898873142,28.1969617220238,0.983333333333333
44072,22-06-25 01:14:42,505930.673266426,23.1317431057463,5330533.71453961,-16.1517601326376,975.825804126946,5439.90395135796,975.825804126946,5439.90395135796,28.212708031887,1.23333333333333
